Neuron,Type,Location,Description,Neurotransmitter/Neuropeptide,Innexin Expression,Receptor expression,Function
DA7,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, innervate dorsal muscles",Acetylcholine,,"Expresses UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997). DA9 expresses a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003; Goodman, 2006).","Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons."
DA8,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, innervate dorsal muscles",Acetylcholine,,"Expresses UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997). DA9 expresses a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003; Goodman, 2006).","Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons."
DA9,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, innervate dorsal muscles",Acetylcholine,,"Expresses UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997). DA9 expresses a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003; Goodman, 2006).","Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons."
DB1,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DB2,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DB3,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DB4,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DB5,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DB6,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DB7,Motor neuron,Body (ventral nerve cord)|,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",Acetylcholine,,,"Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons."
DD1,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",,,,"Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993)."
DD2,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",,,,"Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993)."
DD3,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",,,,"Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993)."
DD4,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",,,,"Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993)."
DD5,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",,,,"Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993)."
DD6,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",,,,"Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993)."
DVA,Interneuron,Dorsorectal ganglion,"Ring interneurons, cell bodies in dorsorectal ganglion",,,"Expresses glutamate receptor subunits, GLR-4, GLR-5 and NMR-1 (Brockie et al., 2001). Expresses a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003). Variably expresses the serotonin receptor SER-4 (can be instead DVC neuron) (Tsalik et al., 2003). Suggested to express GABA-A/glycine receptor-like protein GGR-3 (Fujiwara et al., 1996).","Mechanosensory integration. The PVD and DVA neurons are presynaptic to both the forward and backing interneurons, and provide input to both the anterior and posterior touch circuits. Animals lacking these neurons respond to tap stimulus with diminished forward accelerations and reversals. These neurons, therefore, seem to maintain the overall activity of the touch circuit (Wicks et al., 1996; Driscoll and Kaplan, 1997; Goodman, 2007). DVA represents a stretch receptor neuron that regulates sensory-motor integration during C. elegans locomotion. trp-4, a homologue of the mechanosensitive TRPN channel, acts as a stretch-sensitive proprioceptor in DVA. DVA both positively and negatively modulates locomotion, providing a unique mechanism whereby a single neuron can fine-tune motor activity (Li et al., 2006)."
DVB,Motor neuron/interneuron,Dorsorectal ganglion,An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles,"GABA (Eastman et al., 1999)",,,"Defecation. AVL and DVB are excitatory GABAergic motor neurons for the enteric muscles (Avery and Thomas, 1997; McIntire et al., 1993). Together with AVL, activates expulsion muscle contraction (E.p or EMC)."
DVC,Interneuron,Dorsorectal ganglion,"Ring interneurons, cell bodies in dorsorectal ganglion",,,"Expresses glutamate. receptor subunits, GLR-1 (Hart et al., 1995). Variably expresses the serotonin receptor SER-4 (can be instead DVA) (Tsalik et al., 2003).",
FLPL,Sensory neuron,Head,"Have ciliated endings in head, not part of a sensillum. The endings are not open to outside. Wrap around a branch of the lateral ILso cell just below the region where the socket cell surrounds the IL neurons.","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999).",,"Express mammalian capsaicin receptor-like channel protein OSM-9 (Colbert et al., 1997). Express alpha subunits of a nicotinic acetylcholine receptor, DEG-3 and DES-2 (Treinin and Chalfie, 1995, Treinin. et al., 1998). Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001). Express MEC-10 (degenerin) which comprise part of a mechanosensory transduction channel (Huang and Chalfie, 1994). Express DEL-1, a DEG/ENaC family member which may be a subunit of a mechanically gated ion channel that contributes to nematode proprioception (Tavernarakis et al., 1997). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Nose touch avoidance. Nose-on collision with an object such as an eyelash initiates backward movement of C. elegans. Three classes of mechanosensory neurons (ASH, FLP, and OLQ) act in parallel to mediate this response. Each sensory neuron class accounts for a fraction of the normal response, as follows: ASH, 45%; FLP, 29%; and OLQ, 5%. The remaining responses (~10%) are mediated by the ALM and AVM neurons, which sense anterior body touch (Kaplan and Driscoll, 1997; Goodman, 2006)."
FLPR,Sensory neuron,Head,"Have ciliated endings in head, not part of a sensillum. The endings are not open to outside. Wrap around a branch of the lateral ILso cell just below the region where the socket cell surrounds the IL neurons.","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999).",,"Express mammalian capsaicin receptor-like channel protein OSM-9 (Colbert et al., 1997). Express alpha subunits of a nicotinic acetylcholine receptor, DEG-3 and DES-2 (Treinin and Chalfie, 1995, Treinin. et al., 1998). Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001). Express MEC-10 (degenerin) which comprise part of a mechanosensory transduction channel (Huang and Chalfie, 1994). Express DEL-1, a DEG/ENaC family member which may be a subunit of a mechanically gated ion channel that contributes to nematode proprioception (Tavernarakis et al., 1997). Express UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","Nose touch avoidance. Nose-on collision with an object such as an eyelash initiates backward movement of C. elegans. Three classes of mechanosensory neurons (ASH, FLP, and OLQ) act in parallel to mediate this response. Each sensory neuron class accounts for a fraction of the normal response, as follows: ASH, 45%; FLP, 29%; and OLQ, 5%. The remaining responses (~10%) are mediated by the ALM and AVM neurons, which sense anterior body touch (Kaplan and Driscoll, 1997; Goodman, 2006)."
HSNL,Motor neuron,"Mid-body, close to vulva","Hermaphrodite specific motor neurons. These cells die in male embryo. The HSNs are generated in the tail of the embryo and then migrate anteriorly to positions near the middle of the animal in both sexes. Therefore, it appears that the decision for cell death in male is not made at the time that the cells are born (Sulston et al., 1983). HSNR axon travels in the right fascicle of VNC, whereas HSNL axon travels in the left side. Axon outgrowth begins during L2 and L3 and is guided by the epithelial cells of the developing vulva and processes of the ventral nerve cord (PVP and PVQ processes). Vulval precursor cells guide the emerging HSN processes ventrally. They also organize the two HSN processes to join the ventral nerve cord in two separate fascicles and induce them to defasciculate from the ventral nerve cord and branch at the vulva (Garriga et al.,1993). Synapse formation takes place in the L3 and L4 stages. For a more detailed anatomical description of HSN neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (Desai et al., 1988). Express VMaT, CAT-1 (Duerr et al., 1999). Express tryptophan hydroxylase, TPH-1 (Sze et al., 2000). Acetylcholine (weak and variable staining). Rand and Nonet, 1997. Express neuropeptide-like proteins NLP-3 and NLP-15 (Nathoo et al., 2001) and NLP-8 (M. Barr, pers. comm.; Nathoo et al., 2001). Express FMRFamide-like neuropeptide FLP-5 (M. Barr; K. Kim and C. Li, pers. comm.).",,"Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002). Express G protein-linked acetylcholine receptor GAR-2 (Lee et al., 2000). Possibly express glutamate receptor subunit GLR-5 (Brockie et al., 2001). Suggested to express GABA-A/glycine receptor-like protein GGR-2 (Fujiwara et al., 1996).","Innervate the vulval muscles and stimulate egg laying by hermaphrodites. Laser ablation of both HSN neurons results in animals that fail to lay eggs normally and become severely bloated with eggs retained in the uterus (egl phenotype). HSN neurons are the only neurons of the egg-laying circuitry, as defined by the synaptic connectivity, that have been shown to be required for normal egg-laying (Chalfie and White, 1988). Hermaphrodites that lack the HSN motor neurons do lay eggs in response to exogenous serotonin (Trent et al, 1983)."
HSNR,Motor neuron,"Mid-body, close to vulva","Hermaphrodite specific motor neurons. These cells die in male embryo. The HSNs are generated in the tail of the embryo and then migrate anteriorly to positions near the middle of the animal in both sexes. Therefore, it appears that the decision for cell death in male is not made at the time that the cells are born (Sulston et al., 1983). HSNR axon travels in the right fascicle of VNC, whereas HSNL axon travels in the left side. Axon outgrowth begins during L2 and L3 and is guided by the epithelial cells of the developing vulva and processes of the ventral nerve cord (PVP and PVQ processes). Vulval precursor cells guide the emerging HSN processes ventrally. They also organize the two HSN processes to join the ventral nerve cord in two separate fascicles and induce them to defasciculate from the ventral nerve cord and branch at the vulva (Garriga et al.,1993). Synapse formation takes place in the L3 and L4 stages. For a more detailed anatomical description of HSN neurons also refer to Reproductive System-Egg-laying apparatus.","Serotonin (Desai et al., 1988). Express VMaT, CAT-1 (Duerr et al., 1999). Express tryptophan hydroxylase, TPH-1 (Sze et al., 2000). Acetylcholine (weak and variable staining). Rand and Nonet, 1997. Express neuropeptide-like proteins NLP-3 and NLP-15 (Nathoo et al., 2001) and NLP-8 (M. Barr, pers. comm.; Nathoo et al., 2001). Express FMRFamide-like neuropeptide FLP-5 (M. Barr; K. Kim and C. Li, pers. comm.).",,"Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002). Express G protein-linked acetylcholine receptor GAR-2 (Lee et al., 2000). Possibly express glutamate receptor subunit GLR-5 (Brockie et al., 2001). Suggested to express GABA-A/glycine receptor-like protein GGR-2 (Fujiwara et al., 1996).","Innervate the vulval muscles and stimulate egg laying by hermaphrodites. Laser ablation of both HSN neurons results in animals that fail to lay eggs normally and become severely bloated with eggs retained in the uterus (egl phenotype). HSN neurons are the only neurons of the egg-laying circuitry, as defined by the synaptic connectivity, that have been shown to be required for normal egg-laying (Chalfie and White, 1988). Hermaphrodites that lack the HSN motor neurons do lay eggs in response to exogenous serotonin (Trent et al, 1983)."
I1L,Pharyngeal interneuron,Pharynx anterior bulb,"Pharyngeal interneurons. The anterior projections from these cells insert onto muscles pm1 and pm2s, and have a free subcuticular, proprioceptive-like (postulated sensory) ending at the anterior end. They also extend to the basement membrane here to receive input from the somatic RIP neurons. The posterior axonal projections of the I1s run within the subventral nerve cords and then run around the pharyngeal nerve ring to the dorsal side where they meet in gap junctions. The termination of the anterior projections in the dorsal pharyngeal nerve cord is variable (Albertson and Thomson, 1976).Neurotransmitter: Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).","Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).",,"Express glutamate receptor subunits, GLR-7 and GLR-8 (Brockie et al., 2001). ","The pharyngeal and somatic nervous systems are connected to each other via gap junctions between the extrapharyngeal RIP neurons and the pharyngeal I1 neurons. When this connection is disrupted by ablation of RIPs, pharyngeal pumping becomes unresponsive to light touch which is sensed by somatic touch neurons (Avery and Thomas, 1997). I1s also synapse on MC neurons and modulate the rate of pharyngeal pumping in the absence of bacteria (Avery and Thomas, 1997)."
I1R,Pharyngeal interneuron,Pharynx anterior bulb,"Pharyngeal interneurons. The anterior projections from these cells insert onto muscles pm1 and pm2s, and have a free subcuticular, proprioceptive-like (postulated sensory) ending at the anterior end. They also extend to the basement membrane here to receive input from the somatic RIP neurons. The posterior axonal projections of the I1s run within the subventral nerve cords and then run around the pharyngeal nerve ring to the dorsal side where they meet in gap junctions. The termination of the anterior projections in the dorsal pharyngeal nerve cord is variable (Albertson and Thomson, 1976).Neurotransmitter: Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).","Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).",,"Express glutamate receptor subunits, GLR-7 and GLR-8 (Brockie et al., 2001). ","The pharyngeal and somatic nervous systems are connected to each other via gap junctions between the extrapharyngeal RIP neurons and the pharyngeal I1 neurons. When this connection is disrupted by ablation of RIPs, pharyngeal pumping becomes unresponsive to light touch which is sensed by somatic touch neurons (Avery and Thomas, 1997). I1s also synapse on MC neurons and modulate the rate of pharyngeal pumping in the absence of bacteria (Avery and Thomas, 1997)."
I2L,Pharyngeal interneuron,Pharynx anterior bulb,"Pharyngeal interneurons. At the most anterior end of the subventral nerve cords, I2s have proprioceptive-like free subcuticular endings slightly anterior to those of I1s. They are also coupled by gap junctions to M1 neurons and attach to pm1 muscle at the anterior end. Their posterior processes terminate anterior to the cell bodies of M3 neurons (Albertson and Thomson, 1976).","Express neuropeptide-like proteins NLP-3 and NLP-8 (Nathoo et al., 2001).",,"Express glutamate receptor subunits, GLR-7 and GLR-8 (Brockie et al., 2001). ","Unknown or redundant (Avery and Thomas, 1997)."
I2R,Pharyngeal interneuron,Pharynx anterior bulb,"Pharyngeal interneurons. At the most anterior end of the subventral nerve cords, I2s have proprioceptive-like free subcuticular endings slightly anterior to those of I1s. They are also coupled by gap junctions to M1 neurons and attach to pm1 muscle at the anterior end. Their posterior processes terminate anterior to the cell bodies of M3 neurons (Albertson and Thomson, 1976).","Express neuropeptide-like proteins NLP-3 and NLP-8 (Nathoo et al., 2001).",,"Express glutamate receptor subunits, GLR-7 and GLR-8 (Brockie et al., 2001). ","Unknown or redundant (Avery and Thomas, 1997)."
I3,Pharyngeal interneuron,Pharynx anterior bulb,"Pharyngeal interneuron. Anteriorly, I3 is inserted onto muscles pm1 and pm2 and terminates anterior to the dorsal gland cell duct with a proprioceptive-like ending. Posterior process terminates on the dorsal side of the nerve ring (Albertson and Thomson, 1976).","Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).",,"Express glutamate receptor subunits GLR-7 and GLR-8 (Brockie et al., 2001).","Unknown or redundant (Avery and Thomas, 1997)."
I4,Pharyngeal interneuron,Pharynx posterior bulb,"Pharyngeal interneuron. The soma of I4 is located on the dorsal side of the terminal bulb commissure. A branch from each side runs within the terminal bulb commissure and continues anteriorly to the nerve ring in the subventral nerve cords. On the ventral side of the nerve ring, these processes cross over to the other side. The right branch travels dorsally around the left half of the nerve ring and ends buried in pm1. The left branch travels dorsally around the right side of the ring and terminates at the level of the right subdorsal apex of the pharyngeal lumen (Albertson and Thomson, 1976).","Express neuropeptide-like proteins NLP-3 and NLP-13 (Nathoo et al., 2001).",,,"Unknown or redundant (Avery and Thomas, 1997)."
I5,Pharyngeal interneuron,Pharynx posterior bulb ,"Pharyngeal interneuron. I5 has a very large cell body which is located on the ventral side of the terminal bulb. Two short branches come out of the cell body and split into anterior and posterior projections. At the level of the terminal bulb commissure, the anterior processes end on the cell bodies of M2 motor neurons and are linked to them by desmosomes. Posteriorly, the processes run between pm6 and pm7 and reach a subdorsal position adjacent to the subdorsal marginal cells. Each branch then travels anteriorly to the terminal bulb commissure where they fuse across the dorsal side. Ventrally, these also become attached to the cell bodies of M2 motor neurons by desmosomes. At the level of the subventral nerve cords each branch turns anteriorly and travels to the nerve ring. They make a single closed loop within the nerve ring. A short anterior projection is also seen in the dorsal side of the nerve cord (Albertson and Thomson, 1976).","Serotonin, based on serotonin immunoreactivity (Sawin et al., 2000). Possibly glutamate (Lee et al., 1999).",,,"M3 and I5 are suggested to facilitate bacterial trapping by regulating the relative duration of muscle relaxation in different regions of the pharynx (Avery, 1993). Pharyngeal relaxation becomes quicker when I5 is ablated. When both I5 and M3 are ablated there is a delay in relaxation that is indistinguishable from that caused by ablation of M3 alone, suggesting I5 slows down relaxation by inhibiting M3 (Avery and Thomas, 1997)"
I6,Pharyngeal interneuron,Pharynx posterior bulb,"A bipolar pharyngeal interneuron. Its shorter process travels posteriorly, crosses from left to right subdorsally between pm6 and pm7, and then ends with a free subcuticular ending between pm5 and pm6. The longer process runs anteriorly from the cell body to enter the nerve ring from the dorsal nerve cord, where it terminates on the dorsal side (Albertson and Thomson, 1976).Neurotransmitter: Possibly acetylcholine (Duerr et al., 2008). Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).Function: Unknown or redundant (Avery and Thomas, 1997).","Possibly acetylcholine (Duerr et al., 2008). Express neuropeptide-like protein NLP-3 (Nathoo et al., 2001).",,"Express glutamate receptor subunits GLR-7 and GLR-8 (Brockie et al., 2001).","Unknown or redundant (Avery and Thomas, 1997)."
IL1DL,Sensory/interneuron/motor,Head,"Neurons of inner labial sensilla, ciliated endings with striated rootlets, synapse directly onto muscle cells. IL1 dendrite ending does not protrude through the hole in the socket cell to the outside. (See a 3-D reconstruction of IL1 cells by Newbury and Moerman lab. This movie was created from confocal images of a strain expressing the GFP marker linked to the promoter for Y111B2A.8 using Zeiss LSM 5 Pascal software v. 3.2.)",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995). Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002).","When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006)."
IL1DR,Sensory/interneuron/motor,Head,"Neurons of inner labial sensilla, ciliated endings with striated rootlets, synapse directly onto muscle cells. IL1 dendrite ending does not protrude through the hole in the socket cell to the outside. (See a 3-D reconstruction of IL1 cells by Newbury and Moerman lab. This movie was created from confocal images of a strain expressing the GFP marker linked to the promoter for Y111B2A.8 using Zeiss LSM 5 Pascal software v. 3.2.)",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995). Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002).","When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006)."
IL1L,Sensory/interneuron/motor,Head,"Neurons of inner labial sensilla, ciliated endings with striated rootlets, synapse directly onto muscle cells. IL1 dendrite ending does not protrude through the hole in the socket cell to the outside. (See a 3-D reconstruction of IL1 cells by Newbury and Moerman lab. This movie was created from confocal images of a strain expressing the GFP marker linked to the promoter for Y111B2A.8 using Zeiss LSM 5 Pascal software v. 3.2.)",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995). Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002).","When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006)."
IL1R,Sensory/interneuron/motor,Head,"Neurons of inner labial sensilla, ciliated endings with striated rootlets, synapse directly onto muscle cells. IL1 dendrite ending does not protrude through the hole in the socket cell to the outside. (See a 3-D reconstruction of IL1 cells by Newbury and Moerman lab. This movie was created from confocal images of a strain expressing the GFP marker linked to the promoter for Y111B2A.8 using Zeiss LSM 5 Pascal software v. 3.2.)",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995). Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002).","When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006)."
IL1VL,Sensory/interneuron/motor,Head,"Neurons of inner labial sensilla, ciliated endings with striated rootlets, synapse directly onto muscle cells. IL1 dendrite ending does not protrude through the hole in the socket cell to the outside. (See a 3-D reconstruction of IL1 cells by Newbury and Moerman lab. This movie was created from confocal images of a strain expressing the GFP marker linked to the promoter for Y111B2A.8 using Zeiss LSM 5 Pascal software v. 3.2.)",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995). Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002).","When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006)."
IL1VR,Sensory/interneuron/motor,Head,"Neurons of inner labial sensilla, ciliated endings with striated rootlets, synapse directly onto muscle cells. IL1 dendrite ending does not protrude through the hole in the socket cell to the outside. (See a 3-D reconstruction of IL1 cells by Newbury and Moerman lab. This movie was created from confocal images of a strain expressing the GFP marker linked to the promoter for Y111B2A.8 using Zeiss LSM 5 Pascal software v. 3.2.)",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DEG-3 (Treinin and Chalfie, 1995). Express MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002).","When worms are touched on either the dorsal or ventral sides of their nose with an eyelash, they interrupt the normal pattern of foraging and undergo an aversive head-withdrawal reflex. This simple reflex is mediated by two classes of mechanosensory neurons (OLQ and IL1) and their synaptic targets, the RMD motor neurons. Killing any of these cells, alone or in combination, diminishes the head withdrawal reflex. IL1, OLQ, and RMD also regulate spontaneous foraging movements. Laser operated animals lacking IL1 and OLQ forage abnormally slowly and make exaggerated dorsal and ventral nose turns (Hart et al., 1995; Kaplan and Driscoll, 1997; Goodman, 2006)."
IL2DL,Sensory neuron,Head,"Neurons of inner labial sensilla, ciliated endings without rootlets. IL2 dendrite ending protrudes through the hole in the socket cell to the outside, hence, it is suggested that IL2 neurons are chemosensory. Stains with DiI/Ca Acetate, DiO (Burket et al., 2006), Di4ANEPPS, and RH421 (Mille and Shakes, 1995).",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DES-2 (Treinin. et al., 2001). IL2L/R express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).",
IL2DR,Sensory neuron,Head,"Neurons of inner labial sensilla, ciliated endings without rootlets. IL2 dendrite ending protrudes through the hole in the socket cell to the outside, hence, it is suggested that IL2 neurons are chemosensory. Stains with DiI/Ca Acetate, DiO (Burket et al., 2006), Di4ANEPPS, and RH421 (Mille and Shakes, 1995).",,,"Express alpha subunit of a nicotinic acetylcholine receptor, DES-2 (Treinin. et al., 2001). IL2L/R express neuropeptide Y receptor like protein, NPR-1 (Coates and de Bono, 2002).",
